influencer_id,basis,rate,orders,total_payout
110,post,1000,891,1000
111,post,1000,1193,1000
112,order,50,4477,223850
113,order,50,3860,193000
114,order,50,978,48900
115,post,1000,4321,1000
116,post,1000,73,1000
117,order,50,3098,154900
118,post,1000,4877,1000
119,order,50,559,27950
120,post,1000,3283,1000
121,post,1000,3371,1000
122,order,50,248,12400
123,post,1000,1855,1000
124,post,1000,2373,1000
125,order,50,607,30350
126,post,1000,1211,1000
127,post,1000,4520,1000
128,post,1000,3394,1000
129,order,50,923,46150
130,post,1000,3825,1000
131,order,50,4922,246100
132,order,50,1833,91650
133,order,50,1938,96900
134,order,50,1575,78750
135,post,1000,3501,1000
136,post,1000,4152,1000
137,post,1000,3250,1000
138,post,1000,2678,1000
139,post,1000,922,1000
140,order,50,1107,55350
141,post,1000,1858,1000
142,order,50,4559,227950
143,order,50,3526,176300
144,post,1000,3105,1000
145,order,50,2650,132500
146,order,50,4994,249700
147,post,1000,4074,1000
148,order,50,4533,226650
149,order,50,2222,111100
150,order,50,3132,156600
151,order,50,4078,203900
152,order,50,1184,59200
153,post,1000,568,1000
154,order,50,405,20250
155,post,1000,4071,1000
156,post,1000,2970,1000
157,post,1000,4812,1000
158,post,1000,4989,1000
159,post,1000,844,1000
160,post,1000,2104,1000
161,post,1000,2917,1000
162,order,50,3738,186900
163,post,1000,4217,1000
164,post,1000,4647,1000
165,order,50,3796,189800
166,post,1000,4941,1000
167,post,1000,290,1000
168,order,50,1655,82750
169,post,1000,4115,1000
170,order,50,480,24000
171,order,50,2671,133550
172,post,1000,1218,1000
173,post,1000,3369,1000
174,order,50,3240,162000
175,post,1000,647,1000
176,order,50,354,17700
177,order,50,2763,138150
178,order,50,530,26500
179,order,50,4419,220950
180,post,1000,3853,1000
181,order,50,3760,188000
182,order,50,258,12900
183,post,1000,2212,1000
184,post,1000,209,1000
185,post,1000,764,1000
186,post,1000,1999,1000
187,order,50,3652,182600
188,post,1000,230,1000
189,order,50,4280,214000
190,post,1000,4450,1000
191,order,50,4438,221900
192,order,50,4928,246400
193,post,1000,4613,1000
194,order,50,96,4800
195,order,50,1317,65850
196,order,50,149,7450
197,order,50,3036,151800
198,order,50,3374,168700
199,order,50,103,5150
200,order,50,1981,99050
201,order,50,2475,123750
202,post,1000,4094,1000
203,order,50,2865,143250
204,order,50,4653,232650
205,post,1000,1495,1000
206,post,1000,1344,1000
207,order,50,1439,71950
208,post,1000,2696,1000
209,post,1000,394,1000
210,post,1000,920,1000
211,post,1000,4827,1000
212,order,50,4261,213050
213,order,50,4015,200750
214,post,1000,3647,1000
215,post,1000,3548,1000
216,order,50,2886,144300
217,post,1000,4329,1000
218,order,50,2781,139050
219,order,50,3902,195100
220,order,50,55,2750
221,post,1000,2391,1000
222,order,50,4476,223800
223,order,50,4820,241000
224,post,1000,961,1000
225,order,50,2648,132400
226,order,50,1965,98250
227,order,50,2310,115500
228,order,50,942,47100
229,post,1000,109,1000
230,order,50,3003,150150
231,post,1000,2349,1000
232,post,1000,839,1000
233,order,50,2265,113250
234,post,1000,3217,1000
235,order,50,433,21650
236,order,50,2410,120500
237,post,1000,2946,1000
238,order,50,697,34850
239,order,50,67,3350
240,order,50,3473,173650
241,order,50,4745,237250
242,order,50,3831,191550
243,order,50,2883,144150
244,order,50,1213,60650
245,post,1000,2356,1000
246,order,50,629,31450
247,post,1000,1472,1000
248,order,50,2629,131450
249,order,50,4450,222500
250,order,50,1140,57000
251,order,50,3766,188300
252,post,1000,92,1000
253,order,50,4716,235800
254,post,1000,3334,1000
255,order,50,1928,96400
256,post,1000,4934,1000
257,order,50,3517,175850
258,post,1000,4106,1000
259,post,1000,408,1000
260,post,1000,1474,1000
261,post,1000,2532,1000
262,post,1000,3474,1000
263,post,1000,2372,1000
264,post,1000,1485,1000
265,order,50,4646,232300
266,order,50,427,21350
267,order,50,2873,143650
268,post,1000,4107,1000
269,post,1000,1310,1000
270,post,1000,650,1000
271,post,1000,4622,1000
272,order,50,4982,249100
273,order,50,2540,127000
274,order,50,1138,56900
275,post,1000,2181,1000
276,order,50,1405,70250
277,post,1000,454,1000
278,post,1000,3687,1000
279,post,1000,3242,1000
280,order,50,3876,193800
281,post,1000,3049,1000
282,order,50,2899,144950
283,order,50,3288,164400
284,order,50,2830,141500
285,order,50,3928,196400
286,order,50,2697,134850
287,post,1000,2503,1000
288,post,1000,1645,1000
289,order,50,2497,124850
290,post,1000,3930,1000
291,order,50,3285,164250
292,order,50,2359,117950
293,post,1000,2499,1000
294,post,1000,2989,1000
295,order,50,2738,136900
296,post,1000,2322,1000
297,order,50,3821,191050
298,order,50,2608,130400
299,post,1000,879,1000
300,post,1000,3356,1000
301,order,50,595,29750
302,post,1000,1089,1000
303,post,1000,3373,1000
304,post,1000,2722,1000
305,order,50,797,39850
306,order,50,4938,246900
307,order,50,521,26050
308,order,50,3513,175650
309,order,50,3859,192950
310,order,50,2234,111700
311,post,1000,3251,1000
312,post,1000,2875,1000
313,order,50,3090,154500
314,order,50,2689,134450
315,post,1000,4983,1000
316,order,50,4576,228800
317,order,50,623,31150
318,order,50,4224,211200
319,post,1000,1826,1000
320,post,1000,3197,1000
321,post,1000,554,1000
322,order,50,866,43300
323,post,1000,4423,1000
324,order,50,1277,63850
325,post,1000,4189,1000
326,post,1000,821,1000
327,order,50,297,14850
328,order,50,4274,213700
329,post,1000,1236,1000
330,post,1000,2637,1000
331,order,50,3997,199850
332,post,1000,2579,1000
333,order,50,958,47900
334,order,50,1164,58200
335,order,50,4853,242650
336,post,1000,1791,1000
337,order,50,1044,52200
338,post,1000,3156,1000
339,order,50,4738,236900
340,order,50,1722,86100
341,order,50,1978,98900
342,order,50,2865,143250
343,order,50,3351,167550
344,order,50,1978,98900
345,post,1000,1471,1000
346,order,50,176,8800
347,order,50,2992,149600
348,order,50,3375,168750
349,order,50,4507,225350
350,post,1000,3613,1000
351,order,50,1825,91250
352,post,1000,3447,1000
353,order,50,4426,221300
354,post,1000,3,1000
355,post,1000,2906,1000
356,order,50,1210,60500
357,post,1000,2459,1000
358,order,50,4721,236050
359,order,50,1995,99750
360,order,50,736,36800
361,post,1000,1200,1000
362,order,50,2953,147650
363,order,50,1178,58900
364,post,1000,518,1000
365,order,50,1160,58000
366,order,50,1107,55350
367,order,50,1314,65700
368,order,50,2866,143300
369,order,50,1709,85450
370,order,50,2863,143150
371,order,50,1857,92850
372,order,50,2665,133250
373,order,50,232,11600
374,post,1000,3723,1000
375,order,50,586,29300
376,post,1000,1667,1000
377,order,50,448,22400
378,order,50,1369,68450
379,post,1000,3186,1000
380,post,1000,548,1000
381,order,50,758,37900
382,order,50,34,1700
383,post,1000,2843,1000
384,post,1000,4170,1000
385,order,50,1212,60600
386,post,1000,1370,1000
387,order,50,1289,64450
388,order,50,4245,212250
389,post,1000,253,1000
390,post,1000,4876,1000
391,post,1000,2338,1000
392,post,1000,4300,1000
393,order,50,1032,51600
394,order,50,2103,105150
395,post,1000,1126,1000
396,post,1000,2412,1000
397,post,1000,898,1000
398,post,1000,1399,1000
399,order,50,930,46500
400,order,50,4775,238750
401,order,50,1838,91900
402,order,50,3805,190250
403,order,50,2323,116150
404,post,1000,592,1000
405,post,1000,2363,1000
406,post,1000,894,1000
407,post,1000,238,1000
408,order,50,3615,180750
409,order,50,2269,113450
410,order,50,3786,189300
411,post,1000,2879,1000
412,order,50,3371,168550
413,order,50,4840,242000
414,post,1000,1786,1000
415,post,1000,3517,1000
416,order,50,3021,151050
417,order,50,2493,124650
418,order,50,1260,63000
419,post,1000,3610,1000
420,order,50,1425,71250
421,order,50,4214,210700
422,post,1000,3960,1000
423,order,50,234,11700
424,order,50,1357,67850
425,order,50,560,28000
426,post,1000,1135,1000
427,order,50,3052,152600
428,post,1000,4195,1000
429,order,50,1874,93700
430,post,1000,27,1000
431,order,50,2063,103150
432,post,1000,4178,1000
433,order,50,320,16000
434,order,50,4867,243350
435,order,50,3758,187900
436,order,50,819,40950
437,order,50,222,11100
438,order,50,455,22750
439,order,50,1209,60450
440,order,50,4510,225500
441,order,50,3771,188550
442,post,1000,1604,1000
443,post,1000,1138,1000
444,post,1000,62,1000
445,post,1000,4037,1000
446,post,1000,3100,1000
447,post,1000,688,1000
448,order,50,3621,181050
449,post,1000,3074,1000
450,post,1000,3874,1000
451,post,1000,3212,1000
452,order,50,1127,56350
453,post,1000,3110,1000
454,post,1000,1574,1000
455,post,1000,584,1000
456,order,50,1209,60450
457,post,1000,1748,1000
458,post,1000,687,1000
459,post,1000,4985,1000
460,post,1000,94,1000
461,order,50,4090,204500
462,post,1000,3881,1000
463,post,1000,2138,1000
464,order,50,3529,176450
465,post,1000,524,1000
466,order,50,1570,78500
467,post,1000,513,1000
468,post,1000,1707,1000
469,order,50,842,42100
470,order,50,1857,92850
471,post,1000,628,1000
472,order,50,938,46900
473,order,50,1690,84500
474,post,1000,477,1000
475,order,50,1905,95250
476,post,1000,303,1000
477,order,50,1289,64450
478,post,1000,3785,1000
479,post,1000,3467,1000
480,order,50,4683,234150
481,order,50,2157,107850
482,post,1000,615,1000
483,post,1000,1468,1000
484,order,50,3864,193200
485,order,50,165,8250
486,post,1000,3396,1000
487,post,1000,868,1000
488,post,1000,1102,1000
489,order,50,4309,215450
490,post,1000,1229,1000
491,post,1000,1599,1000
492,order,50,2554,127700
493,order,50,1249,62450
494,order,50,1765,88250
495,order,50,740,37000
496,post,1000,1689,1000
497,post,1000,566,1000
498,order,50,2610,130500
499,order,50,3057,152850
500,post,1000,4122,1000
501,order,50,4807,240350
502,post,1000,189,1000
503,post,1000,4737,1000
504,order,50,1885,94250
505,post,1000,1848,1000
506,order,50,2939,146950
507,order,50,967,48350
508,post,1000,663,1000
509,post,1000,2594,1000
510,order,50,2775,138750
511,post,1000,1148,1000
512,order,50,1183,59150
513,post,1000,4983,1000
514,order,50,126,6300
515,post,1000,1518,1000
516,post,1000,975,1000
517,order,50,95,4750
518,post,1000,817,1000
519,post,1000,1112,1000
520,order,50,975,48750
521,order,50,70,3500
522,order,50,796,39800
523,order,50,3879,193950
524,post,1000,3732,1000
525,post,1000,3009,1000
526,order,50,919,45950
527,order,50,2363,118150
528,post,1000,3260,1000
529,order,50,3489,174450
530,post,1000,4888,1000
531,post,1000,1871,1000
532,post,1000,3719,1000
533,order,50,1403,70150
534,post,1000,2990,1000
535,order,50,1823,91150
536,order,50,1609,80450
537,post,1000,2031,1000
538,order,50,2426,121300
539,post,1000,3704,1000
540,post,1000,928,1000
541,order,50,2752,137600
542,order,50,945,47250
543,order,50,663,33150
544,order,50,4696,234800
545,post,1000,3003,1000
546,post,1000,3898,1000
547,post,1000,1821,1000
548,order,50,4542,227100
549,order,50,2336,116800
550,post,1000,3316,1000
551,order,50,2218,110900
552,post,1000,1674,1000
553,order,50,4625,231250
554,order,50,1808,90400
555,order,50,1941,97050
556,post,1000,2889,1000
557,order,50,1279,63950
558,order,50,877,43850
559,order,50,3656,182800
560,post,1000,4410,1000
561,post,1000,2362,1000
562,post,1000,1381,1000
563,order,50,3544,177200
564,post,1000,1462,1000
565,post,1000,1395,1000
566,order,50,3582,179100
567,post,1000,4773,1000
568,post,1000,2279,1000
569,post,1000,3157,1000
570,order,50,169,8450
571,order,50,3143,157150
572,order,50,542,27100
573,order,50,4018,200900
574,post,1000,309,1000
575,post,1000,4246,1000
576,order,50,2537,126850
577,order,50,1666,83300
578,order,50,1048,52400
579,order,50,24,1200
580,post,1000,2149,1000
581,post,1000,3332,1000
582,order,50,207,10350
583,order,50,1291,64550
584,post,1000,4000,1000
585,post,1000,1291,1000
586,post,1000,4502,1000
587,order,50,4045,202250
588,order,50,2894,144700
589,post,1000,854,1000
590,post,1000,2114,1000
591,post,1000,1121,1000
592,post,1000,3435,1000
593,order,50,4637,231850
594,order,50,2641,132050
595,post,1000,960,1000
596,post,1000,459,1000
597,post,1000,3710,1000
598,post,1000,196,1000
599,post,1000,4272,1000
600,post,1000,4773,1000
601,post,1000,1058,1000
602,post,1000,372,1000
603,post,1000,2657,1000
604,order,50,4959,247950
605,post,1000,1527,1000
606,order,50,1354,67700
607,order,50,4597,229850
608,post,1000,3483,1000
609,post,1000,262,1000
610,order,50,2806,140300
611,order,50,2119,105950
612,order,50,770,38500
613,post,1000,2613,1000
614,post,1000,4106,1000
615,post,1000,3335,1000
616,order,50,2458,122900
617,post,1000,1806,1000
618,order,50,821,41050
619,order,50,2849,142450
620,post,1000,2410,1000
621,post,1000,4487,1000
622,order,50,3253,162650
623,post,1000,3952,1000
624,post,1000,1074,1000
625,order,50,1975,98750
626,post,1000,4282,1000
627,post,1000,2473,1000
628,order,50,1184,59200
629,order,50,3891,194550
630,post,1000,1425,1000
631,order,50,1400,70000
632,order,50,3096,154800
633,order,50,2662,133100
634,order,50,189,9450
635,order,50,4681,234050
636,order,50,2795,139750
637,order,50,4174,208700
638,post,1000,2371,1000
639,order,50,2288,114400
640,post,1000,3896,1000
641,post,1000,911,1000
642,post,1000,3382,1000
643,post,1000,1105,1000
644,post,1000,1078,1000
645,post,1000,4915,1000
646,order,50,4790,239500
647,post,1000,3393,1000
648,order,50,2514,125700
649,post,1000,633,1000
650,order,50,3927,196350
651,order,50,2582,129100
652,post,1000,4576,1000
653,post,1000,374,1000
654,order,50,2324,116200
655,order,50,695,34750
656,post,1000,4454,1000
657,post,1000,3926,1000
658,order,50,2723,136150
659,order,50,1878,93900
660,post,1000,1930,1000
661,post,1000,3851,1000
662,post,1000,4115,1000
663,order,50,2760,138000
664,post,1000,3448,1000
665,post,1000,2713,1000
666,post,1000,4094,1000
667,order,50,4293,214650
668,post,1000,1719,1000
669,order,50,1124,56200
670,order,50,2970,148500
671,post,1000,2462,1000
672,order,50,1934,96700
673,order,50,1203,60150
674,order,50,171,8550
675,order,50,3734,186700
676,order,50,3101,155050
677,order,50,403,20150
678,order,50,3931,196550
679,post,1000,373,1000
680,post,1000,4913,1000
681,order,50,2713,135650
682,order,50,929,46450
683,order,50,4681,234050
684,post,1000,4463,1000
685,post,1000,3030,1000
686,post,1000,326,1000
687,order,50,545,27250
688,order,50,2855,142750
689,post,1000,2563,1000
690,post,1000,2035,1000
691,order,50,3233,161650
692,order,50,1773,88650
693,order,50,3657,182850
694,post,1000,2742,1000
695,post,1000,398,1000
696,order,50,2660,133000
697,order,50,4615,230750
698,order,50,242,12100
699,order,50,4821,241050
700,order,50,1421,71050
701,post,1000,1953,1000
702,post,1000,1916,1000
703,post,1000,3773,1000
704,order,50,3739,186950
705,order,50,4453,222650
706,order,50,3716,185800
707,post,1000,334,1000
708,post,1000,2198,1000
709,order,50,2208,110400
710,order,50,4909,245450
711,post,1000,3395,1000
712,post,1000,2263,1000
713,post,1000,613,1000
714,post,1000,1575,1000
715,order,50,2690,134500
716,order,50,784,39200
717,order,50,4093,204650
718,order,50,949,47450
719,post,1000,2498,1000
720,order,50,4163,208150
721,order,50,2895,144750
722,order,50,2457,122850
723,order,50,1559,77950
724,post,1000,146,1000
725,order,50,2588,129400
726,order,50,4222,211100
727,post,1000,3534,1000
728,post,1000,1587,1000
729,post,1000,4217,1000
730,post,1000,1113,1000
731,post,1000,2565,1000
732,post,1000,311,1000
733,post,1000,4595,1000
734,post,1000,1929,1000
735,order,50,4966,248300
736,post,1000,4707,1000
737,order,50,1310,65500
738,post,1000,2210,1000
739,order,50,4880,244000
740,order,50,4284,214200
741,order,50,3842,192100
742,order,50,2838,141900
743,order,50,1559,77950
744,order,50,704,35200
745,post,1000,4049,1000
746,order,50,3737,186850
747,order,50,4668,233400
748,order,50,1407,70350
749,order,50,570,28500
750,order,50,390,19500
751,post,1000,1591,1000
752,order,50,611,30550
753,post,1000,3707,1000
754,post,1000,4437,1000
755,post,1000,2372,1000
756,post,1000,700,1000
757,post,1000,4402,1000
758,post,1000,2007,1000
759,order,50,2463,123150
760,order,50,4662,233100
761,post,1000,2799,1000
762,order,50,1608,80400
763,order,50,615,30750
764,post,1000,4483,1000
765,order,50,941,47050
766,order,50,1762,88100
767,post,1000,1516,1000
768,order,50,610,30500
769,order,50,4332,216600
770,order,50,1442,72100
771,post,1000,2847,1000
772,post,1000,1814,1000
773,order,50,523,26150
774,order,50,3371,168550
775,post,1000,2749,1000
776,order,50,3144,157200
777,post,1000,4159,1000
778,order,50,1109,55450
779,order,50,3863,193150
780,post,1000,287,1000
781,order,50,2573,128650
782,post,1000,1401,1000
783,order,50,2055,102750
784,post,1000,1695,1000
785,order,50,4810,240500
786,order,50,2761,138050
787,post,1000,4789,1000
788,post,1000,2865,1000
789,post,1000,2978,1000
790,post,1000,1517,1000
791,post,1000,2130,1000
792,post,1000,608,1000
793,post,1000,4994,1000
794,order,50,309,15450
795,post,1000,1611,1000
796,post,1000,1702,1000
797,order,50,4885,244250
798,post,1000,187,1000
799,order,50,3431,171550
800,order,50,4060,203000
801,post,1000,3265,1000
802,post,1000,3550,1000
803,order,50,1387,69350
804,post,1000,4455,1000
805,order,50,4762,238100
806,post,1000,616,1000
807,order,50,3895,194750
808,post,1000,3593,1000
809,order,50,131,6550
810,post,1000,3725,1000
811,post,1000,988,1000
812,order,50,2350,117500
813,order,50,4839,241950
814,post,1000,1168,1000
815,order,50,2190,109500
816,post,1000,1691,1000
817,order,50,3642,182100
818,order,50,1375,68750
819,order,50,3145,157250
820,order,50,2685,134250
821,post,1000,889,1000
822,post,1000,4470,1000
823,order,50,3601,180050
824,post,1000,970,1000
825,post,1000,434,1000
826,order,50,4755,237750
827,post,1000,4403,1000
828,order,50,734,36700
829,post,1000,2700,1000
830,order,50,449,22450
831,post,1000,1049,1000
832,post,1000,2429,1000
833,post,1000,3894,1000
834,post,1000,1231,1000
835,post,1000,582,1000
836,order,50,3315,165750
837,order,50,3279,163950
838,post,1000,4428,1000
839,order,50,1584,79200
840,post,1000,710,1000
841,order,50,944,47200
842,order,50,1208,60400
843,order,50,735,36750
844,order,50,1918,95900
845,post,1000,1544,1000
846,order,50,4284,214200
847,order,50,356,17800
848,order,50,3408,170400
849,order,50,4507,225350
850,post,1000,4470,1000
851,post,1000,34,1000
852,post,1000,2335,1000
853,order,50,1973,98650
854,order,50,1916,95800
855,post,1000,500,1000
856,post,1000,1555,1000
857,post,1000,1956,1000
858,post,1000,541,1000
859,post,1000,4846,1000
860,post,1000,1857,1000
861,order,50,4190,209500
862,order,50,1323,66150
863,order,50,2554,127700
864,post,1000,3430,1000
865,post,1000,1392,1000
866,post,1000,3910,1000
867,order,50,2528,126400
868,post,1000,173,1000
869,order,50,4174,208700
870,post,1000,2308,1000
871,post,1000,2865,1000
872,order,50,2700,135000
873,order,50,2215,110750
874,post,1000,2911,1000
875,post,1000,3385,1000
876,order,50,12,600
877,order,50,934,46700
878,order,50,2219,110950
879,post,1000,4225,1000
880,post,1000,66,1000
881,post,1000,4056,1000
882,post,1000,4861,1000
883,order,50,3176,158800
884,order,50,1467,73350
885,post,1000,1837,1000
886,order,50,3542,177100
887,post,1000,708,1000
888,post,1000,320,1000
889,order,50,3265,163250
890,order,50,4892,244600
891,order,50,4733,236650
892,post,1000,1758,1000
893,order,50,394,19700
894,order,50,1421,71050
895,post,1000,3543,1000
896,post,1000,2409,1000
897,order,50,1342,67100
898,order,50,3255,162750
899,post,1000,2799,1000
900,order,50,738,36900
901,order,50,53,2650
902,order,50,618,30900
903,post,1000,4769,1000
904,order,50,107,5350
905,order,50,2272,113600
906,post,1000,1680,1000
907,order,50,419,20950
908,order,50,2325,116250
909,order,50,3949,197450
910,post,1000,4858,1000
911,post,1000,3501,1000
912,post,1000,1074,1000
913,order,50,4768,238400
914,order,50,4028,201400
915,order,50,1506,75300
916,post,1000,1505,1000
917,order,50,960,48000
918,post,1000,1043,1000
919,post,1000,1661,1000
920,post,1000,3427,1000
921,order,50,4317,215850
922,order,50,4234,211700
923,order,50,4143,207150
924,order,50,3091,154550
925,post,1000,1320,1000
926,order,50,1257,62850
927,post,1000,932,1000
928,post,1000,611,1000
929,order,50,3594,179700
930,post,1000,4036,1000
931,order,50,2168,108400
932,order,50,4765,238250
933,post,1000,563,1000
934,order,50,4682,234100
935,post,1000,2280,1000
936,post,1000,2824,1000
937,order,50,3426,171300
938,post,1000,4964,1000
939,order,50,531,26550
940,post,1000,2471,1000
941,post,1000,2572,1000
942,post,1000,4909,1000
943,post,1000,918,1000
944,post,1000,3548,1000
945,post,1000,2760,1000
946,order,50,531,26550
947,order,50,2953,147650
948,order,50,2109,105450
949,post,1000,3016,1000
950,post,1000,977,1000
951,post,1000,4830,1000
952,post,1000,4849,1000
953,order,50,4649,232450
954,order,50,377,18850
955,post,1000,4875,1000
956,order,50,447,22350
957,post,1000,4808,1000
958,post,1000,4994,1000
959,order,50,2058,102900
960,post,1000,4408,1000
961,order,50,4939,246950
962,post,1000,184,1000
963,post,1000,1052,1000
964,post,1000,4760,1000
965,order,50,4325,216250
966,order,50,2639,131950
967,order,50,298,14900
968,post,1000,1049,1000
969,order,50,1258,62900
970,post,1000,3253,1000
971,post,1000,4203,1000
972,post,1000,589,1000
973,order,50,4397,219850
974,order,50,3134,156700
975,post,1000,792,1000
976,post,1000,3729,1000
977,post,1000,2467,1000
978,order,50,340,17000
979,post,1000,3856,1000
980,post,1000,1296,1000
981,order,50,3708,185400
982,order,50,4079,203950
983,post,1000,1508,1000
984,order,50,1512,75600
985,post,1000,4136,1000
986,order,50,4539,226950
987,order,50,2579,128950
988,order,50,3323,166150
989,order,50,3335,166750
990,order,50,2733,136650
991,post,1000,393,1000
992,post,1000,3082,1000
993,order,50,677,33850
994,order,50,2046,102300
995,post,1000,4230,1000
996,order,50,2838,141900
997,post,1000,2628,1000
998,order,50,2787,139350
999,post,1000,4645,1000
1000,post,1000,3382,1000
1001,post,1000,2046,1000
1002,post,1000,3032,1000
1003,order,50,3891,194550
1004,order,50,10,500
1005,order,50,1778,88900
1006,post,1000,190,1000
1007,order,50,4382,219100
1008,post,1000,3238,1000
1009,order,50,2750,137500
1010,order,50,1306,65300
1011,order,50,969,48450
1012,post,1000,2445,1000
1013,post,1000,77,1000
1014,post,1000,1292,1000
1015,post,1000,663,1000
1016,post,1000,915,1000
1017,post,1000,4815,1000
1018,post,1000,2012,1000
1019,order,50,429,21450
1020,post,1000,2082,1000
1021,post,1000,700,1000
1022,post,1000,1658,1000
1023,order,50,2419,120950
1024,post,1000,2292,1000
1025,order,50,65,3250
1026,order,50,4717,235850
1027,post,1000,1439,1000
1028,post,1000,109,1000
1029,post,1000,2547,1000
1030,post,1000,404,1000
1031,post,1000,3722,1000
1032,post,1000,4497,1000
1033,post,1000,3546,1000
1034,order,50,168,8400
1035,order,50,2193,109650
1036,post,1000,3833,1000
1037,post,1000,895,1000
1038,order,50,3635,181750
1039,order,50,2271,113550
1040,order,50,3366,168300
1041,order,50,4337,216850
1042,post,1000,314,1000
1043,order,50,3482,174100
1044,order,50,4279,213950
1045,order,50,453,22650
1046,post,1000,2167,1000
1047,order,50,2539,126950
1048,post,1000,2730,1000
1049,post,1000,4880,1000
1050,order,50,2,100
1051,order,50,764,38200
1052,post,1000,1802,1000
1053,order,50,3699,184950
1054,order,50,2317,115850
1055,post,1000,3468,1000
1056,post,1000,1947,1000
1057,post,1000,2749,1000
1058,post,1000,2371,1000
1059,order,50,4413,220650
1060,order,50,1900,95000
1061,post,1000,2703,1000
1062,order,50,1998,99900
1063,order,50,4401,220050
1064,order,50,94,4700
1065,order,50,3343,167150
1066,order,50,4157,207850
1067,post,1000,980,1000
1068,order,50,4924,246200
1069,order,50,4805,240250
1070,order,50,1882,94100
1071,order,50,3624,181200
1072,order,50,1582,79100
1073,post,1000,407,1000
1074,post,1000,348,1000
1075,post,1000,2396,1000
1076,post,1000,3876,1000
1077,post,1000,4025,1000
1078,order,50,1238,61900
1079,post,1000,1277,1000
1080,order,50,1965,98250
1081,post,1000,4641,1000
1082,post,1000,3556,1000
1083,post,1000,327,1000
1084,post,1000,3169,1000
1085,order,50,3590,179500
1086,order,50,3889,194450
1087,post,1000,3487,1000
1088,order,50,2768,138400
1089,post,1000,3950,1000
1090,post,1000,2731,1000
1091,post,1000,2223,1000
1092,post,1000,3971,1000
1093,order,50,164,8200
1094,order,50,4735,236750
1095,post,1000,557,1000
1096,order,50,4613,230650
1097,post,1000,2945,1000
1098,post,1000,989,1000
1099,post,1000,1842,1000
1100,post,1000,1186,1000
1101,order,50,2736,136800
1102,post,1000,397,1000
1103,post,1000,4716,1000
1104,post,1000,1578,1000
1105,order,50,276,13800
1106,post,1000,4088,1000
1107,post,1000,4955,1000
1108,order,50,1709,85450
1109,order,50,4191,209550
1110,post,1000,932,1000
1111,order,50,2756,137800
1112,post,1000,91,1000
1113,post,1000,2838,1000
1114,order,50,2982,149100
1115,post,1000,3126,1000
1116,post,1000,388,1000
1117,order,50,4652,232600
1118,order,50,2201,110050
1119,order,50,3481,174050
1120,order,50,2326,116300
1121,post,1000,3911,1000
1122,order,50,2487,124350
1123,post,1000,1671,1000
1124,post,1000,1030,1000
1125,post,1000,4836,1000
1126,order,50,118,5900
1127,post,1000,4562,1000
